Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
396931,The Origins of Totalitarianism,Hannah Arendt,"Arendt, Hannah",,"=""0156701537""","=""9780156701532""",0,4.26,"Harcourt, Brace, Jovanovich",Paperback,527,1973,1951,,2017/08/06,to-read,to-read (#398),to-read,,,,0,,,0,,,,,,,"History|415;Philosophy|400;Nonfiction|362;Politics|353;Politics,Political Science|58;Sociology|52"
25743316,Known and Strange Things: Essays,Teju Cole,"Cole, Teju",,"=""""","=""""",0,4.11,Random House ,,416,2016,2016,,2017/08/06,to-read,to-read (#397),to-read,,,,0,,,0,,,,,,,"Writing,Essays|145;Nonfiction|120;Art|22;History|21;Politics|16;Travel|14"
27833494,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""0385535600""","=""9780385535601""",0,4.35,Doubleday,ebook,464,2016,2016,,2017/08/06,to-read,to-read (#396),to-read,,,,0,,,0,,,,,,,Nonfiction|640;Politics|545;History|229;Economics|126;Business|63
30989285,Age of Anger: A History of the Present,Pankaj Mishra,"Mishra, Pankaj",,"=""0374715823""","=""9780374715823""",0,3.69,"Farrar, Straus and Giroux",ebook,416,2017,2017,,2017/08/06,to-read,to-read (#395),to-read,,,,0,,,0,,,,,,,Nonfiction|133;Politics|84;History|53;Philosophy|26;Sociology|19
28220955,The Story of a Brief Marriage,Anuk Arudpragasam,"Arudpragasam, Anuk",,"=""1250072409""","=""9781250072405""",0,3.75,Flatiron Books,Hardcover,208,2016,2016,,2017/08/06,to-read,to-read (#394),to-read,,,,0,,,0,,,,,,,"Fiction|109;Historical,Historical Fiction|38;War|20;Cultural,Asia|14;Literary Fiction|12;Novels|9;Literature|7;Contemporary|6;Adult Fiction|6;Abandoned|4"
23129715,Sphinx,Anne Garréta,"Garréta, Anne",Emma Ramadan,"=""1941920098""","=""9781941920091""",0,3.82,Deep Vellum Publishing,Paperback,152,2015,1986,,2017/08/06,to-read,to-read (#393),to-read,,,,0,,,0,,,,,,,"Fiction|61;Cultural,France|21;Glbt|20;Glbt,Queer|15"
23315782,The Wolf Border,Sarah Hall,"Hall, Sarah",,"=""0062208470""","=""9780062208477""",0,3.79,Harper,Hardcover,432,2015,2015,,2017/08/06,to-read,to-read (#392),to-read,,,,0,,,0,,,,,,,"Fiction|100;Animals|23;Environment,Nature|20;Contemporary|16;European Literature,British Literature|14"
32600212,Madame Zero: 9 Stories,Sarah Hall,"Hall, Sarah",,"=""0062657089""","=""9780062657084""",0,3.85,Custom House,ebook,224,2017,2017,,2017/08/06,to-read,to-read (#391),to-read,,,,0,,,0,,,,,,,
31578250,October: The Story of the Russian Revolution,China Miéville,"Miéville, China",,"=""1784782777""","=""9781784782771""",0,3.95,Verso,Hardcover,369,2017,2017,,2017/08/06,to-read,to-read (#390),to-read,,,,0,,,0,,,,,,,"History|167;Nonfiction|103;Politics|38;Cultural,Russia|34"
26141649,"Missing, Presumed (DS Manon, #1)",Susie Steiner,"Steiner, Susie",,"=""0008123284""","=""9780008123284""",0,3.51,The Borough Press,Hardcover,400,2016,2016,,2017/08/06,to-read,to-read (#389),to-read,,,,0,,,0,,,,,,,"Mystery|400;Fiction|177;Mystery,Crime|103;Thriller|84;Thriller,Mystery Thriller|80"
29939268,Universal Harvester,John Darnielle,"Darnielle, John",,"=""0374282102""","=""9780374282103""",0,3.27,Farrar Straus & Giroux,Hardcover,214,2017,2017,,2017/08/06,to-read,to-read (#388),to-read,,,,0,,,0,,,,,,,Fiction|310;Horror|177;Mystery|94;Thriller|30;Literary Fiction|27;Novels|25
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",0,3.86,Vintage,Paperback,227,2007,2005,,2017/08/06,to-read,to-read (#387),to-read,,,,0,,,0,,,,,,,"Nonfiction|1890;Autobiography,Memoir|1712;Biography|414;Biography Memoir|202"
424,Slouching Towards Bethlehem,Joan Didion,"Didion, Joan",,"=""0374521727""","=""9780374521721""",0,4.24,Farrar Straus Giroux,Paperback,238,1990,1968,,2017/08/06,to-read,to-read (#386),to-read,,,,0,,,0,,,,,,,"Nonfiction|495;Writing,Essays|207;Autobiography,Memoir|128;History|109;Short Stories|103;Classics|98"
32842454,South and West: From a Notebook,Joan Didion,"Didion, Joan",,"=""1524732796""","=""9781524732790""",0,3.65,Knopf Publishing Group,Hardcover,160,2017,2017,,2017/08/06,to-read,to-read (#385),to-read,,,,0,,,0,,,,,,,"Nonfiction|119;Writing,Essays|63;Autobiography,Memoir|50;Travel|29"
237209,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana",,"=""0670038601""","=""9780670038602""",0,3.75,Viking,Hardcover,429,2007,2007,,2017/08/06,to-read,to-read (#384),to-read,,,,0,,,0,,,,,,,"Mystery|4427;Fiction|2027;Mystery,Crime|1000;Thriller|876;Thriller,Mystery Thriller|602"
32600399,The Destroyers,Christopher Bollen,"Bollen, Christopher",,"=""0062329987""","=""9780062329981""",0,3.51,Harper,Hardcover,496,2017,2017,,2017/08/06,to-read,to-read (#383),to-read,,,,0,,,0,,,,,,,"Fiction|27;Thriller|9;Mystery|8;Cultural,Greece|6;Thriller,Mystery Thriller|5;Contemporary|3"
32283423,American War,Omar El Akkad,"Akkad, Omar El",,"=""0451493583""","=""9780451493583""",0,3.91,Knopf Publishing Group,Hardcover,333,2017,2017,,2017/08/06,to-read,to-read (#382),to-read,,,,0,,,0,,,,,,,"Fiction|451;Science Fiction|184;Science Fiction,Dystopia|173;War|71"
31450918,The City Always Wins,Omar Robert Hamilton,"Hamilton, Omar Robert",,"=""0374123977""","=""9780374123970""",0,4.25,MCD,Hardcover,336,2017,2017,,2017/08/06,to-read,to-read (#381),to-read,,,,0,,,0,,,,,,,"Fiction|28;Northern Africa,Egypt|9;Literary Fiction|5"
32699278,Time Pieces: A Dublin Memoir,John Banville,"Banville, John",Paul Joyce,"=""""","=""""",0,3.73,Hachette Books Ireland,Kindle Edition,224,2016,,,2017/08/06,to-read,to-read (#380),to-read,,,,0,,,0,,,,,,,
34933179,The Epic City: The World on the Streets of Calcutta,Kushanava Choudhury,"Choudhury, Kushanava",,"=""1408888882""","=""9781408888889""",0,4.27,Bloomsbury Circus,Hardcover,,2018,,,2017/08/06,to-read,to-read (#379),to-read,,,,0,,,0,,,,,,,"History|2;Travel|2;Cultural,India|2"
34415012,The Dawn Watch: Joseph Conrad in a Global World,Maya Jasanoff,"Jasanoff, Maya",,"=""1594205817""","=""9781594205811""",0,0.0,Penguin Press,Hardcover,,2017,,,2017/08/06,to-read,to-read (#378),to-read,,,,0,,,0,,,,,,,Biography Memoir|2
